Area code,Area name,cpm2_1,cpm2_2,cpm2_3,cpm2_4plus,cpm2_overall
E07000223,Adur,17.337108847588276,19.44663544113373,18.395877744532754,19.825798567850917,18.751355150276417
E07000032,Amber Valley,9.91503872545626,10.139328128025754,10.673620466364985,11.976091944586038,10.67601981610826
E07000224,Arun,16.300951428141314,17.539116023022846,15.5466835260803,16.26043946442997,16.41179761041861
E07000170,Ashfield,9.552032896878707,9.39939070784589,9.725382757095977,11.590032080094955,10.066709610478883
E07000105,Ashford,14.764203992463083,15.974893740251918,15.766504435834575,17.073122355158755,15.894681130927083
E07000200,Babergh,12.876877013753644,12.740282565066995,12.134273795409774,12.456324430904585,12.55193945128375
E09000002,Barking and Dagenham,25.205608801746298,24.81885669271148,23.364666265844864,28.306359524342753,25.42387282116135
E09000003,Barnet,30.58097957816325,28.40144907520959,22.569782714537528,23.296057080475872,26.212067112096562
E08000038,Barnsley,8.385911892037198,8.195900668530777,8.759579130650113,10.545593594198342,8.971746321354107
E07000066,Basildon,17.59065017114972,18.735122977500733,17.40159690885832,18.995997390908826,18.1808418621044
E07000084,Basingstoke and Deane,16.877341145614057,18.892701189614563,16.20450754204967,16.129493498054288,17.026010843833145
E07000171,Bassetlaw,9.121962724054066,8.976440426072175,9.03596974572856,9.777411799665796,9.227946173880149
E06000022,Bath and North East Somerset,19.366036102071266,19.350189968100146,17.582262586540764,20.994935338044897,19.32335599868927
E06000055,Bedford,15.9236611873931,16.29227749807089,14.209407187749399,15.603423784793481,15.507192414501716
E09000004,Bexley,25.084945252293124,24.22818650961544,22.015027096721443,25.351049438273968,24.16980207422599
E08000025,Birmingham,15.853070227231843,14.242832270025108,12.28641193291938,15.194428932548346,14.39418584068117
E07000129,Blaby,12.138836567574458,12.727880165950703,12.361958926890145,14.439295214646751,12.916992718765513
E06000008,Blackburn with Darwen,9.7032414134078,7.882878584787423,8.536440817454805,10.650900935532304,9.193365437795583
E06000009,Blackpool,10.09331181116294,9.407024358859639,8.141304421609611,10.105526024455072,9.436791654021816
W06000019,Blaenau Gwent,8.047092277470066,7.791334771516485,7.851439053717122,8.62360973285448,8.078368958889538
E07000033,Bolsover,8.255557785412691,8.051061322883527,8.50071790559111,10.582537871503447,8.847468721347694
E08000001,Bolton,11.651409056483471,10.211478188498386,10.951863005003116,13.647326717216151,11.61551924180028
E07000136,Boston,10.765909198951102,10.517649059196483,10.664749795888433,11.628114380439813,10.894105608618958
E06000058,"Bournemouth, Christchurch and Poole",17.18601839450638,17.853084421899684,15.769186765510534,18.07210676938803,17.220099087826156
E06000036,Bracknell Forest,19.103972074247444,21.41171401947493,19.184758037601696,19.925112486403467,19.906389154431885
E08000032,Bradford,9.982723804577134,9.0048438859859,9.114065998498251,10.796996677320287,9.724657591595392
E07000067,Braintree,15.517468682560361,16.667834627941208,15.751215156267861,16.152822810100115,16.022335319217387
E07000143,Breckland,11.29112919757806,11.701945146360172,11.432023806346452,11.674900571095984,11.524999680345166
E09000005,Brent,26.632263286382415,29.272689853391096,24.699334871724666,23.359083168549635,25.99084279501195
E07000068,Brentwood,18.484099939384432,20.944316554744525,18.518933224381477,18.260439433753252,19.05194728806592
W06000013,Bridgend,9.131568042202963,9.48508393869173,9.140373896913692,10.488810098779567,9.561458994146989
E06000043,Brighton and Hove,23.995420372192115,23.546888193168016,20.026090956474466,24.15739218721109,22.93144792726142
E06000023,"Bristol, City of",20.681174566732935,21.78649769195041,16.908496215469853,22.797838301443498,20.543501693899174
E07000144,Broadland,11.768898928125342,12.08963429775155,11.75570148682901,12.232563584885492,11.961699574397848
E09000006,Bromley,23.058817909685196,25.0373576041656,21.656944477796202,23.32857084675904,23.270422709601508
E07000234,Bromsgrove,12.6336447647135,13.620393620800671,12.264367918819941,12.838797659277088,12.8393009909028
E07000095,Broxbourne,21.11745430848821,23.794052291492577,20.68431535698207,21.517260354398505,21.77827057784034
E07000172,Broxtowe,11.716563187634032,12.258970494893148,11.73895180986926,13.939748953569667,12.413558611491526
E06000060,Buckinghamshire,17.927032672819017,19.33489215870891,16.34567586437522,15.96379609611108,17.392849198003557
E07000117,Burnley,8.441047363838825,7.537300200618781,8.576275796992766,10.71257248426108,8.816798961427864
E08000002,Bury,13.242476635873748,13.590241968755182,12.316612087657226,12.582258780211605,12.93289736812444
W06000018,Caerphilly,9.215570516314664,9.308721601807996,8.721370348298906,10.220843824285833,9.36662657267685
E08000033,Calderdale,8.630208522319974,9.217066182106361,9.495386243502534,10.958353238228003,9.575253546539217
E07000008,Cambridge,23.537754649479808,23.882052151164064,20.519752595239627,25.060872075626698,23.250107867877546
E09000007,Camden,41.653564240753745,40.161329300755185,35.52018546588234,30.433679298439394,36.942189576457665
E07000192,Cannock Chase,11.1424706323312,11.918989823428722,11.652412966390663,13.067687280759328,11.945390175727479
E07000106,Canterbury,15.025792468098759,15.368543855700178,14.804797623579296,17.69432046001653,15.723363601848693
W06000015,Cardiff,16.344236831076692,16.416772696718386,12.372578370833335,16.023524380381364,15.289278069752445
W06000010,Carmarthenshire,7.907990165939842,7.660508663347214,7.409073457604442,8.1533282203288,7.782725126805074
E07000069,Castle Point,15.817808923007314,18.491244543455366,15.950830151961627,17.698030510902438,16.989478532331685
E06000056,Central Bedfordshire,16.063078543997758,17.077425636318168,16.1587216795646,17.388849080724047,16.672018735151145
W06000008,Ceredigion,9.352701953023102,8.370647483887305,7.396174635972295,9.344917728945862,8.61611045045714
E07000130,Charnwood,12.1750968786742,11.214457688154459,11.24151676972238,13.260434744806123,11.972876520339291
E07000070,Chelmsford,19.9151435309939,21.4464758651424,17.676665968895456,19.38917838004628,19.606865936269507
E07000078,Cheltenham,15.312026923270356,16.108527361822087,14.608692199037893,16.734499680168103,15.69093654107461
E07000177,Cherwell,17.56242706242898,18.52945822619375,16.755724509049283,18.848128226271132,17.923934505985788
E06000049,Cheshire East,11.360030837510358,11.738317323531744,11.636199683066316,11.822353669939702,11.63922537851203
E06000050,Cheshire West and Chester,12.341415293382664,12.175981133474851,11.771619857717804,12.587298448242098,12.219078683204355
E07000034,Chesterfield,9.950053775678258,9.808715933168854,10.170890281363167,11.966534471081692,10.474048615322992
E07000225,Chichester,15.95858714267074,16.471006621997656,15.492991638317259,16.357254882861593,16.06996007146181
E07000118,Chorley,11.049021154013356,10.595836269568212,10.106144997574349,11.679286372586498,10.857572198435603
E07000071,Colchester,15.435938320660096,16.78212438380553,15.382006034126528,17.497438863465074,16.274376900514305
W06000003,Conwy,9.793632719170326,10.629294773450608,9.51276241721749,11.252032440609504,10.296930587611982
E06000052,Cornwall,12.165263584049313,12.439173259907175,12.005973603315153,13.168339402445714,12.44468746242934
E07000079,Cotswold,13.184639219721488,13.374343464817048,12.71788066946275,14.06970789557369,13.336642812393745
E06000047,County Durham,7.1820462638359786,6.823972944240195,7.5172679925142445,8.856404376514723,7.594922894276285
E08000026,Coventry,16.666798468502265,13.145382883310873,12.3808694248279,14.672305847002594,14.216339155910909
E07000226,Crawley,19.241156542046426,21.85681463989023,18.517986344402985,21.26915726527147,20.22127869790278
E09000008,Croydon,24.123232031079272,24.625249710846557,20.071534878732038,22.946615432681007,22.941658013334717
E06000063,Cumberland,7.5567100761891846,7.875496042700664,7.919716140829133,8.519757227601708,7.967919871830173
E07000096,Dacorum,19.595787879256772,22.446682582964627,19.397205736551978,19.501450246905044,20.23528161141961
E06000005,Darlington,8.518395218009086,7.9146457387832125,8.592772803519836,10.448687906930672,8.868625416810701
E07000107,Dartford,21.413100100763067,22.744686265252735,20.607877348244386,23.231970036580684,21.999408437710215
W06000004,Denbighshire,9.154038046900727,9.620575219645508,8.43081887298418,9.399941696069057,9.151343458899866
E06000015,Derby,11.78979142631314,10.773436855167194,10.832189027033236,13.093964435907933,11.622345436105377
