nbedsx,tenex,tenure8x,tenure4x,accomhh1,dwtypenx,dwtype8x,dwtype3x,EPceeb12e,EPceib12e,gorehs,mean,std,p25,median,p75
1.0,own outright,owner occupied - occupied,owner occupied,detached house or bungalow,bungalow,bungalow,house or bungalow,C,D,Yorkshire and the Humber,83.0,,83.0,83.0,83.0
1.0,own outright,owner occupied - occupied,owner occupied,detached house or bungalow,bungalow,bungalow,house or bungalow,D,E,East,55.81,,55.81,55.81,55.81
1.0,own outright,owner occupied - occupied,owner occupied,detached house or bungalow,bungalow,bungalow,house or bungalow,D,E,London,102.97,,102.97,102.97,102.97
1.0,own outright,owner occupied - occupied,owner occupied,detached house or bungalow,bungalow,bungalow,house or bungalow,D,E,West Midlands,74.45,,74.45,74.45,74.45
1.0,own outright,owner occupied - occupied,owner occupied,detached house or bungalow,detached,detached house,house or bungalow,C,C,South West,83.76,,83.76,83.76,83.76
1.0,own outright,owner occupied - occupied,owner occupied,other,bungalow,bungalow,house or bungalow,D,E,East,28.68,,28.68,28.68,28.68
1.0,own outright,owner occupied - occupied,owner occupied,other,bungalow,bungalow,house or bungalow,E,E,East,38.91,,38.91,38.91,38.91
1.0,own outright,owner occupied - occupied,owner occupied,other,bungalow,bungalow,house or bungalow,E,E,South East,30.11,,30.11,30.11,30.11
1.0,own outright,owner occupied - occupied,owner occupied,other,bungalow,bungalow,house or bungalow,F,D,London,26.57,,26.57,26.57,26.57
1.0,own outright,owner occupied - occupied,owner occupied,other,bungalow,bungalow,house or bungalow,F,F,South West,28.01,,28.01,28.01,28.01
1.0,own outright,owner occupied - occupied,owner occupied,other,converted flat,converted flat,low rise flat,C,C,London,48.89,,48.89,48.89,48.89
1.0,own outright,owner occupied - occupied,owner occupied,other,converted flat,converted flat,low rise flat,C,C,South West,44.28,18.017080784633233,37.91,44.28,50.650000000000006
1.0,own outright,owner occupied - occupied,owner occupied,other,converted flat,converted flat,low rise flat,C,D,South West,162.09,,162.09,162.09,162.09
1.0,own outright,owner occupied - occupied,owner occupied,other,converted flat,converted flat,low rise flat,D,C,South East,61.91,,61.91,61.91,61.91
1.0,own outright,owner occupied - occupied,owner occupied,other,converted flat,converted flat,low rise flat,D,D,London,34.37,15.842424056942798,26.53,34.69,42.37
1.0,own outright,owner occupied - occupied,owner occupied,other,converted flat,converted flat,low rise flat,D,D,South East,52.04,,52.04,52.04,52.04
1.0,own outright,owner occupied - occupied,owner occupied,other,converted flat,converted flat,low rise flat,D,D,Yorkshire and the Humber,55.97,,55.97,55.97,55.97
1.0,own outright,owner occupied - occupied,owner occupied,other,converted flat,converted flat,low rise flat,D,E,North West,68.79,,68.79,68.79,68.79
1.0,own outright,owner occupied - occupied,owner occupied,other,converted flat,converted flat,low rise flat,E,E,North West,34.83,,34.83,34.83,34.83
1.0,own outright,owner occupied - occupied,owner occupied,other,converted flat,converted flat,low rise flat,E,F,South West,55.58,,55.58,55.58,55.58
1.0,own outright,owner occupied - occupied,owner occupied,other,converted flat,converted flat,low rise flat,E,F,Yorkshire and the Humber,56.01,,56.01,56.01,56.01
1.0,own outright,owner occupied - occupied,owner occupied,other,converted flat,converted flat,low rise flat,G,F,South West,52.64,,52.64,52.64,52.64
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, high rise","purpose built flat, high rise",high rise flat,C,A/B,London,50.48,,50.48,50.48,50.48
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, high rise","purpose built flat, high rise",high rise flat,C,C,London,43.504999999999995,2.340523445727466,42.6775,43.504999999999995,44.332499999999996
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, high rise","purpose built flat, high rise",high rise flat,C,C,South East,42.91,,42.91,42.91,42.91
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, high rise","purpose built flat, high rise",high rise flat,C,C,South West,50.85,,50.85,50.85,50.85
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, high rise","purpose built flat, high rise",high rise flat,C,D,South East,37.17,,37.17,37.17,37.17
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,A/B,A/B,South West,62.52,,62.52,62.52,62.52
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,A/B,C,East Midlands,44.26,,44.26,44.26,44.26
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,A/B,C,South East,36.11,,36.11,36.11,36.11
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,A/B,North East,40.95,,40.95,40.95,40.95
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,A/B,South East,41.47,,41.47,41.47,41.47
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,A/B,South West,41.91,,41.91,41.91,41.91
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,A/B,West Midlands,59.59,,59.59,59.59,59.59
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,C,East,54.23,,54.23,54.23,54.23
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,C,London,69.84,5.744414678624795,68.095,72.98,73.155
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,C,North East,50.655,12.183449839844217,46.3475,50.655,54.962500000000006
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,C,North West,44.413333333333334,5.584597866752209,41.44,43.6,46.980000000000004
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,C,South East,55.036,13.968549674178778,45.05,45.81,69.26
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,C,South West,53.589999999999996,8.119334948134608,48.959999999999994,50.23,56.54
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,C,West Midlands,61.515,19.667032482473473,49.0175,56.325,68.8225
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,D,London,46.33,,46.33,46.33,46.33
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,D,South East,38.3,2.9132799384885715,37.27,38.3,39.33
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,D,South West,41.92,,41.92,41.92,41.92
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,D,West Midlands,39.63,,39.63,39.63,39.63
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,D,East,41.52,,41.52,41.52,41.52
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,D,London,45.843333333333334,8.201903844027106,39.9375,48.56,50.7175
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,D,North West,59.16,,59.16,59.16,59.16
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,D,South East,51.23,,51.23,51.23,51.23
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,D,Yorkshire and the Humber,42.205,5.409366876077085,40.292500000000004,42.205,44.1175
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,E,East,39.405,4.235569619307419,37.9075,39.405,40.902499999999996
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,E,London,45.754999999999995,1.6617009357883852,45.1675,45.754999999999995,46.3425
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,E,North West,44.82,,44.82,44.82,44.82
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,F,West Midlands,33.0,,33.0,33.0,33.0
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,E,D,South West,50.85,,50.85,50.85,50.85
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,E,E,London,32.38,,32.38,32.38,32.38
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,E,E,South East,40.94,,40.94,40.94,40.94
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,F,E,South East,37.02,,37.02,37.02,37.02
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,F,E,West Midlands,42.74,,42.74,42.74,42.74
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,F,F,North West,55.82,,55.82,55.82,55.82
1.0,own outright,owner occupied - occupied,owner occupied,semi-detached,bungalow,bungalow,house or bungalow,D,D,Yorkshire and the Humber,58.41,,58.41,58.41,58.41
1.0,own outright,owner occupied - occupied,owner occupied,semi-detached,bungalow,bungalow,house or bungalow,E,E,Yorkshire and the Humber,52.38,,52.38,52.38,52.38
1.0,own outright,owner occupied - occupied,owner occupied,semi-detached,semi detached,semi-detached house,house or bungalow,D,F,South East,40.85,,40.85,40.85,40.85
1.0,own outright,owner occupied - occupied,owner occupied,semi-detached,semi detached,semi-detached house,house or bungalow,E,E,North West,51.96,,51.96,51.96,51.96
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,bungalow,bungalow,house or bungalow,D,D,North East,36.86,,36.86,36.86,36.86
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,bungalow,bungalow,house or bungalow,D,E,Yorkshire and the Humber,65.51,,65.51,65.51,65.51
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,bungalow,bungalow,house or bungalow,E,D,South West,53.08,,53.08,53.08,53.08
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,end terrace,small terraced house,house or bungalow,D,D,South East,45.93,,45.93,45.93,45.93
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,end terrace,small terraced house,house or bungalow,F,F,West Midlands,36.74,,36.74,36.74,36.74
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,mid terrace,medium/large terraced house,house or bungalow,D,D,South West,74.3,,74.3,74.3,74.3
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,C,C,East,31.78,,31.78,31.78,31.78
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,C,C,South West,40.584999999999994,4.801255044256655,38.887499999999996,40.584999999999994,42.2825
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,C,C,Yorkshire and the Humber,35.38,,35.38,35.38,35.38
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,D,D,North West,51.49,,51.49,51.49,51.49
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,D,D,South East,36.519999999999996,10.38032754781852,32.85,36.519999999999996,40.19
1.0,own outright,owner occupied - occupied,owner occupied,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,D,D,Yorkshire and the Humber,50.765,3.9810111780802595,49.3575,50.765,52.1725
