serialanon,nbedsx,tenex,accomhh1,dwtypenx,dwtype8x,dwtype3x,floorx,floory,EPceeb12e,EPceib12e,gorehs,tenure8x,tenure4x
20220002907.0,3.0,own with mortgage,terrace/end of terrace,mid terrace,medium/large terraced house,house or bungalow,84.16,89.88,C,D,London,owner occupied - occupied,owner occupied
20220002916.0,4.0,own outright,detached house or bungalow,detached,detached house,house or bungalow,85.09,91.08,D,D,East Midlands,owner occupied - occupied,owner occupied
20220002919.0,3.0,rent from housing association,semi-detached,semi detached,semi-detached house,house or bungalow,73.20,78.84,C,C,South East,housing association - occupied,housing association
20220002921.0,1.0,privately rent,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,41.61,42.75,C,C,London,private rented - occupied,private rented
20220002928.0,4.0,own outright,detached house or bungalow,detached,detached house,house or bungalow,169.13,177.50,C,C,South West,owner occupied - occupied,owner occupied
20220002934.0,5 or more,own outright,detached house or bungalow,detached,detached house,house or bungalow,135.97,133.22,D,D,North West,owner occupied - occupied,owner occupied
20220002936.0,3.0,own with mortgage,terrace/end of terrace,mid terrace,medium/large terraced house,house or bungalow,95.42,100.18,C,A/B,South West,owner occupied - occupied,owner occupied
20220002942.0,1.0,rent from housing association,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,39.03,40.20,C,C,South West,housing association - occupied,housing association
20220002944.0,4.0,own outright,detached house or bungalow,detached,detached house,house or bungalow,156.63,164.60,C,D,East,owner occupied - occupied,owner occupied
20220002957.0,2.0,privately rent,semi-detached,semi detached,semi-detached house,house or bungalow,56.12,60.80,F,F,North West,private rented - occupied,private rented
20220002959.0,2.0,privately rent,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,62.04,66.42,C,C,London,private rented - occupied,private rented
20220002969.0,5 or more,own with mortgage,semi-detached,semi detached,semi-detached house,house or bungalow,160.82,171.02,C,D,North West,owner occupied - occupied,owner occupied
20220002991.0,2.0,rent from housing association,terrace/end of terrace,bungalow,bungalow,house or bungalow,52.04,53.99,D,D,Yorkshire and the Humber,housing association - occupied,housing association
20220002992.0,4.0,own with mortgage,detached house or bungalow,detached,detached house,house or bungalow,125.29,131.16,A/B,C,East,owner occupied - occupied,owner occupied
20220002995.0,3.0,own outright,detached house or bungalow,bungalow,bungalow,house or bungalow,96.67,100.16,D,D,South East,owner occupied - occupied,owner occupied
20220003007.0,3.0,rent from local authority,semi-detached,semi detached,semi-detached house,house or bungalow,77.89,83.62,D,D,South East,local authority - occupied,local authority
20220003016.0,3.0,own with mortgage,terrace/end of terrace,end terrace,medium/large terraced house,house or bungalow,70.08,74.26,D,E,East,owner occupied - occupied,owner occupied
20220003019.0,3.0,own with mortgage,semi-detached,semi detached,semi-detached house,house or bungalow,84.06,90.19,D,D,North West,owner occupied - occupied,owner occupied
20220003024.0,2.0,rent from local authority,terrace/end of terrace,bungalow,bungalow,house or bungalow,53.75,55.46,C,D,South West,local authority - occupied,local authority
20220003028.0,3.0,rent from housing association,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,68.74,73.45,C,C,East Midlands,housing association - occupied,housing association
20220003037.0,5 or more,own outright,semi-detached,semi detached,semi-detached house,house or bungalow,138.99,148.15,C,D,South East,owner occupied - occupied,owner occupied
20220003043.0,3.0,rent from housing association,terrace/end of terrace,mid terrace,medium/large terraced house,house or bungalow,81.24,85.86,C,C,South East,housing association - occupied,housing association
20220003046.0,2.0,rent from local authority,terrace/end of terrace,end terrace,medium/large terraced house,house or bungalow,72.64,77.04,D,D,South East,local authority - occupied,local authority
20220003048.0,5 or more,own with mortgage,semi-detached,semi detached,semi-detached house,house or bungalow,142.32,148.96,D,E,Yorkshire and the Humber,owner occupied - occupied,owner occupied
20220003053.0,3.0,privately rent,terrace/end of terrace,end terrace,medium/large terraced house,house or bungalow,100.99,106.28,D,E,Yorkshire and the Humber,private rented - occupied,private rented
20220003057.0,3.0,own with mortgage,terrace/end of terrace,mid terrace,medium/large terraced house,house or bungalow,71.03,75.76,C,C,South West,owner occupied - occupied,owner occupied
20220003060.0,3.0,rent from housing association,semi-detached,semi detached,semi-detached house,house or bungalow,62.22,66.98,D,D,West Midlands,housing association - occupied,housing association
20220003067.0,2.0,privately rent,semi-detached,semi detached,semi-detached house,house or bungalow,52.37,56.60,E,F,South East,private rented - occupied,private rented
20220003080.0,3.0,own with mortgage,detached house or bungalow,detached,detached house,house or bungalow,105.46,111.96,C,C,North East,owner occupied - occupied,owner occupied
20220003085.0,3.0,own with mortgage,terrace/end of terrace,mid terrace,medium/large terraced house,house or bungalow,108.14,114.14,E,F,North West,owner occupied - occupied,owner occupied
20220003093.0,3.0,rent from local authority,terrace/end of terrace,end terrace,medium/large terraced house,house or bungalow,82.46,87.22,C,C,North East,local authority - occupied,local authority
20220003095.0,3.0,rent from housing association,terrace/end of terrace,mid terrace,medium/large terraced house,house or bungalow,104.02,108.48,C,D,London,housing association - occupied,housing association
20220003099.0,3.0,rent from housing association,semi-detached,semi detached,semi-detached house,house or bungalow,83.79,89.62,C,C,West Midlands,housing association - occupied,housing association
20220003105.0,5 or more,own outright,detached house or bungalow,detached,detached house,house or bungalow,145.29,153.51,D,D,Yorkshire and the Humber,owner occupied - occupied,owner occupied
20220003106.0,2.0,own outright,terrace/end of terrace,end terrace,medium/large terraced house,house or bungalow,77.96,82.32,D,E,North East,owner occupied - occupied,owner occupied
20220003113.0,4.0,own outright,semi-detached,semi detached,semi-detached house,house or bungalow,161.69,159.28,C,C,East Midlands,owner occupied - occupied,owner occupied
20220003117.0,2.0,rent from local authority,terrace/end of terrace,end terrace,medium/large terraced house,house or bungalow,79.20,83.54,C,D,London,local authority - occupied,local authority
20220003118.0,3.0,own outright,terrace/end of terrace,mid terrace,medium/large terraced house,house or bungalow,89.03,93.30,D,E,Yorkshire and the Humber,owner occupied - occupied,owner occupied
20220003131.0,4.0,own with mortgage,detached house or bungalow,detached,detached house,house or bungalow,89.19,95.08,C,C,North East,owner occupied - occupied,owner occupied
20220003140.0,1.0,rent from housing association,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,37.45,38.64,D,D,East,housing association - occupied,housing association
20220003144.0,4.0,own outright,terrace/end of terrace,mid terrace,medium/large terraced house,house or bungalow,204.10,211.44,F,F,East,owner occupied - occupied,owner occupied
20220003145.0,2.0,rent from local authority,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,62.08,64.19,C,C,East Midlands,local authority - occupied,local authority
20220003153.0,3.0,own with mortgage,semi-detached,semi detached,semi-detached house,house or bungalow,132.78,141.66,D,E,East,owner occupied - occupied,owner occupied
20220003160.0,3.0,rent from local authority,semi-detached,semi detached,semi-detached house,house or bungalow,84.09,88.88,D,F,South West,local authority - occupied,local authority
20220003163.0,1.0,rent from local authority,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,47.68,48.72,C,C,London,local authority - occupied,local authority
20220003167.0,1.0,rent from local authority,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,39.00,40.20,C,C,North West,local authority - occupied,local authority
20220003173.0,2.0,rent from housing association,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,59.51,63.76,C,C,London,housing association - occupied,housing association
20220003183.0,3.0,privately rent,terrace/end of terrace,end terrace,medium/large terraced house,house or bungalow,75.10,80.34,D,E,East Midlands,private rented - occupied,private rented
20220003184.0,3.0,own with mortgage,terrace/end of terrace,end terrace,medium/large terraced house,house or bungalow,88.21,93.74,D,D,North West,owner occupied - occupied,owner occupied
20220003187.0,2.0,rent from housing association,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,76.36,81.75,D,D,North West,housing association - occupied,housing association
20220003205.0,3.0,privately rent,terrace/end of terrace,mid terrace,medium/large terraced house,house or bungalow,76.59,80.64,C,D,London,private rented - occupied,private rented
20220003224.0,3.0,rent from housing association,semi-detached,semi detached,semi-detached house,house or bungalow,75.54,80.24,C,D,Yorkshire and the Humber,housing association - occupied,housing association
20220003226.0,2.0,own outright,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,66.47,71.12,C,D,East Midlands,owner occupied - occupied,owner occupied
20220003235.0,2.0,own outright,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,66.50,70.82,C,D,South East,owner occupied - occupied,owner occupied
20220003236.0,1.0,own outright,semi-detached,bungalow,bungalow,house or bungalow,58.41,60.87,D,D,Yorkshire and the Humber,owner occupied - occupied,owner occupied
20220003245.0,3.0,rent from local authority,semi-detached,semi detached,semi-detached house,house or bungalow,78.65,83.28,E,F,Yorkshire and the Humber,local authority - occupied,local authority
20220003246.0,5 or more,own outright,detached house or bungalow,detached,detached house,house or bungalow,210.56,210.32,C,D,South East,owner occupied - occupied,owner occupied
20220003248.0,3.0,own with mortgage,semi-detached,semi detached,semi-detached house,house or bungalow,75.24,80.64,A/B,A/B,East,owner occupied - occupied,owner occupied
20220003253.0,1.0,rent from local authority,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,38.40,39.60,C,C,Yorkshire and the Humber,local authority - occupied,local authority
20220003255.0,3.0,own outright,terrace/end of terrace,mid terrace,medium/large terraced house,house or bungalow,76.96,84.09,D,E,Yorkshire and the Humber,owner occupied - occupied,owner occupied
20220003256.0,3.0,own with mortgage,detached house or bungalow,detached,detached house,house or bungalow,95.66,100.68,E,F,East,owner occupied - occupied,owner occupied
20220003259.0,4.0,rent from local authority,semi-detached,semi detached,semi-detached house,house or bungalow,70.84,76.76,D,D,East,local authority - occupied,local authority
20220003262.0,2.0,rent from local authority,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,53.38,57.82,D,D,East,local authority - occupied,local authority
20220003263.0,1.0,rent from local authority,semi-detached,bungalow,bungalow,house or bungalow,38.45,39.74,D,D,Yorkshire and the Humber,local authority - occupied,local authority
20220003265.0,1.0,rent from local authority,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,62.81,63.45,C,C,Yorkshire and the Humber,local authority - occupied,local authority
20220003266.0,3.0,own with mortgage,semi-detached,semi detached,semi-detached house,house or bungalow,73.66,78.48,D,E,West Midlands,owner occupied - occupied,owner occupied
20220003274.0,5 or more,rent from housing association,terrace/end of terrace,end terrace,medium/large terraced house,house or bungalow,110.44,119.40,C,C,South West,housing association - occupied,housing association
20220003275.0,2.0,own outright,semi-detached,semi detached,semi-detached house,house or bungalow,195.89,194.14,D,D,East Midlands,owner occupied - occupied,owner occupied
20220003285.0,2.0,rent from housing association,terrace/end of terrace,bungalow,bungalow,house or bungalow,61.95,63.89,C,C,North East,housing association - occupied,housing association
20220003295.0,3.0,rent from housing association,semi-detached,semi detached,semi-detached house,house or bungalow,141.45,146.36,C,C,North East,housing association - occupied,housing association
20220003301.0,2.0,own outright,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,63.92,68.22,C,C,South East,owner occupied - occupied,owner occupied
20220003307.0,2.0,privately rent,terrace/end of terrace,mid terrace,medium/large terraced house,house or bungalow,70.02,74.82,D,E,West Midlands,private rented - occupied,private rented
20220003312.0,4.0,own outright,detached house or bungalow,bungalow,bungalow,house or bungalow,78.69,81.74,D,D,West Midlands,owner occupied - occupied,owner occupied
20220003313.0,2.0,privately rent,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,65.71,70.00,C,D,South East,private rented - occupied,private rented
20220003325.0,2.0,rent from local authority,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,62.68,64.80,C,C,East Midlands,local authority - occupied,local authority
20220003328.0,2.0,rent from housing association,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,48.55,52.92,C,C,South West,housing association - occupied,housing association
20220003336.0,2.0,own with mortgage,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,60.91,63.00,C,C,London,owner occupied - occupied,owner occupied
20220003342.0,3.0,own outright,detached house or bungalow,bungalow,bungalow,house or bungalow,101.20,94.92,C,C,South West,owner occupied - occupied,owner occupied
20220003350.0,2.0,own with mortgage,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,54.00,56.00,A/B,A/B,London,owner occupied - occupied,owner occupied
20220003361.0,2.0,own outright,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,58.52,60.59,C,C,West Midlands,owner occupied - occupied,owner occupied
20220003364.0,3.0,rent from housing association,terrace/end of terrace,end terrace,small terraced house,house or bungalow,65.66,70.54,D,E,South East,housing association - occupied,housing association
20220003365.0,1.0,rent from housing association,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,41.08,42.25,C,C,North East,housing association - occupied,housing association
20220003371.0,4.0,rent from housing association,detached house or bungalow,detached,detached house,house or bungalow,121.79,130.92,C,C,West Midlands,housing association - occupied,housing association
20220003378.0,3.0,rent from housing association,terrace/end of terrace,end terrace,medium/large terraced house,house or bungalow,86.86,91.50,C,D,North West,housing association - occupied,housing association
20220003381.0,3.0,own outright,detached house or bungalow,detached,detached house,house or bungalow,85.98,92.02,D,D,South East,owner occupied - occupied,owner occupied
20220003386.0,1.0,rent from housing association,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,49.12,50.16,D,D,South East,housing association - occupied,housing association
20220003387.0,3.0,own with mortgage,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,67.71,71.89,C,D,North West,owner occupied - occupied,owner occupied
20220003389.0,1.0,rent from housing association,semi-detached,bungalow,bungalow,house or bungalow,46.26,47.44,D,C,North West,housing association - occupied,housing association
20220003391.0,4.0,own with mortgage,semi-detached,semi detached,semi-detached house,house or bungalow,77.33,82.58,C,C,East Midlands,owner occupied - occupied,owner occupied
20220003392.0,3.0,privately rent,terrace/end of terrace,mid terrace,medium/large terraced house,house or bungalow,84.71,89.40,D,D,South East,private rented - occupied,private rented
20220003395.0,2.0,privately rent,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,40.77,42.30,C,C,West Midlands,private rented - occupied,private rented
20220003403.0,4.0,own outright,detached house or bungalow,detached,detached house,house or bungalow,91.87,96.49,D,E,South East,owner occupied - occupied,owner occupied
20220003410.0,2.0,own outright,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,52.44,54.40,C,D,South West,owner occupied - occupied,owner occupied
20220003420.0,2.0,own outright,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,68.40,70.63,D,D,North East,owner occupied - occupied,owner occupied
20220003423.0,2.0,privately rent,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,59.84,64.57,D,D,Yorkshire and the Humber,private rented - occupied,private rented
20220003425.0,2.0,own outright,terrace/end of terrace,mid terrace,medium/large terraced house,house or bungalow,86.13,90.30,C,D,London,owner occupied - occupied,owner occupied
20220003431.0,4.0,own outright,detached house or bungalow,detached,detached house,house or bungalow,129.00,135.61,D,E,South West,owner occupied - occupied,owner occupied
20220003434.0,1.0,privately rent,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,44.86,45.12,C,D,London,private rented - occupied,private rented
20220003435.0,1.0,rent from housing association,purpose built flat/maisonette,"purpose built flat, high rise","purpose built flat, high rise",high rise flat,34.21,34.80,C,C,London,housing association - occupied,housing association
20220003451.0,3.0,own outright,semi-detached,semi detached,semi-detached house,house or bungalow,70.89,75.17,D,D,North West,owner occupied - occupied,owner occupied
20220003458.0,3.0,rent from housing association,terrace/end of terrace,end terrace,medium/large terraced house,house or bungalow,84.52,90.30,A/B,A/B,East,housing association - occupied,housing association
20220003467.0,5 or more,own outright,detached house or bungalow,detached,detached house,house or bungalow,426.71,436.58,G,G,South East,owner occupied - occupied,owner occupied
20220003489.0,2.0,privately rent,other,converted flat,converted flat,low rise flat,49.47,51.09,C,C,London,private rented - occupied,private rented
20220003491.0,3.0,own with mortgage,terrace/end of terrace,mid terrace,medium/large terraced house,house or bungalow,86.60,94.01,C,C,North West,owner occupied - occupied,owner occupied
20220003493.0,1.0,rent from housing association,semi-detached,bungalow,bungalow,house or bungalow,37.05,38.35,C,C,North West,housing association - occupied,housing association
20220003499.0,2.0,privately rent,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,58.16,60.68,C,C,East,private rented - occupied,private rented
20220003514.0,2.0,privately rent,other,converted flat,converted flat,low rise flat,89.31,93.20,D,D,North West,private rented - occupied,private rented
20220003541.0,3.0,own with mortgage,terrace/end of terrace,mid terrace,medium/large terraced house,house or bungalow,75.44,80.86,C,C,Yorkshire and the Humber,owner occupied - occupied,owner occupied
20220003542.0,3.0,own outright,detached house or bungalow,bungalow,bungalow,house or bungalow,121.05,124.90,D,D,West Midlands,owner occupied - occupied,owner occupied
20220003544.0,4.0,own outright,detached house or bungalow,detached,detached house,house or bungalow,144.29,142.28,C,D,South East,owner occupied - occupied,owner occupied
20220003547.0,3.0,own outright,detached house or bungalow,detached,detached house,house or bungalow,84.47,89.52,D,D,South East,owner occupied - occupied,owner occupied
20220003548.0,4.0,own with mortgage,detached house or bungalow,detached,detached house,house or bungalow,101.32,107.80,C,C,Yorkshire and the Humber,owner occupied - occupied,owner occupied
20220003551.0,2.0,own outright,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,68.09,71.78,D,D,North West,owner occupied - occupied,owner occupied
20220003554.0,1.0,rent from local authority,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,43.77,44.86,C,C,West Midlands,local authority - occupied,local authority
20220003558.0,2.0,rent from housing association,terrace/end of terrace,end terrace,small terraced house,house or bungalow,69.53,73.92,C,C,East,housing association - occupied,housing association
20220003570.0,1.0,rent from housing association,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,46.13,47.20,C,E,South East,housing association - occupied,housing association
20220003571.0,1.0,privately rent,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,21.72,23.18,C,C,London,private rented - occupied,private rented
20220003577.0,1.0,privately rent,non self contained,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,72.39,74.48,C,D,London,private rented - occupied,private rented
20220003590.0,1.0,privately rent,other,converted flat,converted flat,low rise flat,38.23,39.50,C,C,South West,private rented - occupied,private rented
20220003592.0,2.0,own outright,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,55.53,59.68,D,D,Yorkshire and the Humber,owner occupied - occupied,owner occupied
20220003596.0,5 or more,own with mortgage,detached house or bungalow,detached,detached house,house or bungalow,289.13,288.38,C,C,Yorkshire and the Humber,owner occupied - occupied,owner occupied
20220003601.0,3.0,own with mortgage,detached house or bungalow,detached,detached house,house or bungalow,182.68,188.30,C,C,South West,owner occupied - occupied,owner occupied
20220003603.0,2.0,rent from housing association,other,converted flat,converted flat,low rise flat,82.63,86.48,D,D,London,housing association - occupied,housing association
20220003604.0,4.0,own outright,detached house or bungalow,detached,detached house,house or bungalow,105.64,110.81,D,D,North West,owner occupied - occupied,owner occupied
20220003606.0,4.0,own outright,detached house or bungalow,detached,detached house,house or bungalow,106.53,113.78,D,D,North West,owner occupied - occupied,owner occupied
20220003608.0,1.0,privately rent,other,converted flat,converted flat,low rise flat,32.96,34.32,C,C,South West,private rented - occupied,private rented
20220003610.0,1.0,rent from housing association,terrace/end of terrace,bungalow,bungalow,house or bungalow,37.76,39.03,C,D,North West,housing association - occupied,housing association
20220003611.0,2.0,privately rent,semi-detached,semi detached,semi-detached house,house or bungalow,118.64,123.84,C,D,North West,private rented - occupied,private rented
20220003616.0,2.0,own outright,detached house or bungalow,bungalow,bungalow,house or bungalow,86.81,89.24,D,D,East Midlands,owner occupied - occupied,owner occupied
20220003622.0,3.0,rent from housing association,terrace/end of terrace,end terrace,small terraced house,house or bungalow,61.82,66.50,D,D,South East,housing association - occupied,housing association
20220003647.0,1.0,rent from housing association,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,30.53,31.82,D,C,West Midlands,housing association - occupied,housing association
20220003648.0,3.0,privately rent,semi-detached,semi detached,semi-detached house,house or bungalow,81.72,86.54,C,D,East Midlands,private rented - occupied,private rented
20220003652.0,3.0,own with mortgage,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,61.23,65.84,C,C,East,owner occupied - occupied,owner occupied
20220003654.0,3.0,own outright,detached house or bungalow,detached,detached house,house or bungalow,117.25,123.12,D,E,South East,owner occupied - occupied,owner occupied
20220003665.0,4.0,rent from housing association,semi-detached,semi detached,semi-detached house,house or bungalow,117.09,124.26,C,D,South East,housing association - occupied,housing association
20220003667.0,3.0,privately rent,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,57.58,62.22,D,D,North West,private rented - occupied,private rented
20220003674.0,3.0,own outright,terrace/end of terrace,mid terrace,medium/large terraced house,house or bungalow,91.87,96.60,D,E,London,owner occupied - occupied,owner occupied
20220003675.0,2.0,rent from local authority,detached house or bungalow,bungalow,bungalow,house or bungalow,50.23,52.07,C,C,South East,local authority - occupied,local authority
20220003680.0,4.0,rent from local authority,semi-detached,semi detached,semi-detached house,house or bungalow,90.18,95.28,C,C,Yorkshire and the Humber,local authority - occupied,local authority
20220003687.0,5 or more,own outright,detached house or bungalow,detached,detached house,house or bungalow,131.97,129.60,C,D,North West,owner occupied - occupied,owner occupied
20220003700.0,3.0,privately rent,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,117.08,120.36,C,D,London,private rented - occupied,private rented
20220003704.0,2.0,rent from local authority,semi-detached,semi detached,semi-detached house,house or bungalow,65.14,69.60,C,C,Yorkshire and the Humber,local authority - occupied,local authority
20220003706.0,1.0,privately rent,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,31.03,34.03,C,C,East,private rented - occupied,private rented
20220003726.0,3.0,rent from local authority,terrace/end of terrace,end terrace,small terraced house,house or bungalow,63.81,68.60,D,D,North West,local authority - occupied,local authority
20220003727.0,2.0,own outright,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,76.93,79.73,D,E,South West,owner occupied - occupied,owner occupied
20220003737.0,1.0,privately rent,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,48.58,52.34,D,D,Yorkshire and the Humber,private rented - occupied,private rented
20220003752.0,2.0,rent from housing association,semi-detached,semi detached,semi-detached house,house or bungalow,62.02,66.80,D,D,West Midlands,housing association - occupied,housing association
20220003760.0,3.0,own with mortgage,semi-detached,semi detached,semi-detached house,house or bungalow,67.55,72.32,C,D,North West,owner occupied - occupied,owner occupied
20220003786.0,3.0,own with mortgage,terrace/end of terrace,mid terrace,medium/large terraced house,house or bungalow,92.26,96.63,C,C,London,owner occupied - occupied,owner occupied
20220003805.0,3.0,own with mortgage,semi-detached,semi detached,semi-detached house,house or bungalow,72.68,78.32,D,D,East,owner occupied - occupied,owner occupied
20220003806.0,3.0,own with mortgage,terrace/end of terrace,mid terrace,medium/large terraced house,house or bungalow,121.03,127.16,D,D,Yorkshire and the Humber,owner occupied - occupied,owner occupied
20220003807.0,2.0,own with mortgage,terrace/end of terrace,end terrace,medium/large terraced house,house or bungalow,85.33,89.70,C,D,North East,owner occupied - occupied,owner occupied
20220003821.0,4.0,own with mortgage,detached house or bungalow,detached,detached house,house or bungalow,110.51,115.92,C,C,South East,owner occupied - occupied,owner occupied
20220003830.0,3.0,rent from local authority,terrace/end of terrace,end terrace,medium/large terraced house,house or bungalow,81.79,86.38,D,D,North East,local authority - occupied,local authority
20220003831.0,2.0,own outright,detached house or bungalow,bungalow,bungalow,house or bungalow,57.74,59.59,D,D,North East,owner occupied - occupied,owner occupied
20220003839.0,2.0,rent from housing association,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,65.01,67.14,D,D,London,housing association - occupied,housing association
20220003842.0,2.0,rent from housing association,other,converted flat,converted flat,low rise flat,49.15,51.00,C,C,London,housing association - occupied,housing association
20220003844.0,3.0,own with mortgage,detached house or bungalow,detached,detached house,house or bungalow,121.55,126.92,E,E,London,owner occupied - occupied,owner occupied
20220003851.0,3.0,own with mortgage,semi-detached,semi detached,semi-detached house,house or bungalow,63.26,68.66,D,D,North West,owner occupied - occupied,owner occupied
20220003856.0,4.0,own outright,detached house or bungalow,detached,detached house,house or bungalow,327.21,337.19,F,F,South East,owner occupied - occupied,owner occupied
20220003859.0,1.0,rent from local authority,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,63.58,61.80,C,C,South East,local authority - occupied,local authority
20220003861.0,3.0,own outright,terrace/end of terrace,end terrace,small terraced house,house or bungalow,65.24,70.72,D,D,South East,owner occupied - occupied,owner occupied
20220003863.0,2.0,own with mortgage,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,57.54,61.88,C,C,West Midlands,owner occupied - occupied,owner occupied
20220003872.0,4.0,own with mortgage,detached house or bungalow,detached,detached house,house or bungalow,138.26,145.80,C,D,South West,owner occupied - occupied,owner occupied
20220003878.0,4.0,privately rent,semi-detached,semi detached,semi-detached house,house or bungalow,128.79,135.21,E,E,London,private rented - occupied,private rented
20220003881.0,1.0,rent from housing association,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,43.22,44.29,C,C,South East,housing association - occupied,housing association
20220003887.0,1.0,rent from local authority,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,40.09,41.25,C,C,London,local authority - occupied,local authority
20220003918.0,3.0,own with mortgage,semi-detached,semi detached,semi-detached house,house or bungalow,90.64,95.26,C,C,East Midlands,owner occupied - occupied,owner occupied
20220003919.0,3.0,rent from housing association,terrace/end of terrace,mid terrace,medium/large terraced house,house or bungalow,91.36,96.00,C,C,North West,housing association - occupied,housing association
20220003925.0,4.0,own outright,detached house or bungalow,detached,detached house,house or bungalow,301.87,311.60,C,C,West Midlands,owner occupied - occupied,owner occupied
20220003926.0,1.0,rent from housing association,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,48.67,49.70,C,C,North West,housing association - occupied,housing association
20220003941.0,2.0,own outright,terrace/end of terrace,end terrace,small terraced house,house or bungalow,54.87,59.54,D,D,South West,owner occupied - occupied,owner occupied
20220003944.0,1.0,rent from housing association,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,42.36,43.48,D,C,East Midlands,housing association - occupied,housing association
20220003948.0,3.0,rent from housing association,terrace/end of terrace,end terrace,medium/large terraced house,house or bungalow,89.68,95.56,C,D,East,housing association - occupied,housing association
20220003950.0,1.0,rent from housing association,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,32.33,33.58,C,C,East Midlands,housing association - occupied,housing association
20220003952.0,3.0,rent from local authority,semi-detached,semi detached,semi-detached house,house or bungalow,64.93,69.70,C,D,South West,local authority - occupied,local authority
20220003955.0,3.0,privately rent,terrace/end of terrace,mid terrace,medium/large terraced house,house or bungalow,113.30,118.83,C,D,London,private rented - occupied,private rented
20220003961.0,1.0,own outright,other,converted flat,converted flat,low rise flat,34.83,36.08,E,E,North West,owner occupied - occupied,owner occupied
20220003964.0,2.0,rent from local authority,terrace/end of terrace,end terrace,small terraced house,house or bungalow,59.62,64.04,D,D,South East,local authority - occupied,local authority
20220003970.0,3.0,privately rent,semi-detached,semi detached,semi-detached house,house or bungalow,71.26,75.94,D,E,London,private rented - occupied,private rented
20220003979.0,1.0,rent from housing association,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,38.25,39.31,C,C,North West,housing association - occupied,housing association
