nbedsx,tenex,tenure8x,tenure4x,accomhh1,dwtypenx,dwtype8x,dwtype3x,EPceeb12e,EPceib12e,gorehs,mean,std,p25,median,p75
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,C,C,North West,40.79666666666667,5.189771992422529,37.980000000000004,39.75,43.09
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,C,C,South East,48.462222222222216,14.736849881994607,36.48,48.45,54.53
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,C,C,South West,40.44833333333333,4.571872337091956,38.6825,39.9,41.575
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,C,C,West Midlands,55.26666666666667,21.421795754169004,42.900000000000006,43.2,61.6
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,C,C,Yorkshire and the Humber,50.15,,50.15,50.15,50.15
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,C,D,East,39.34,,39.34,39.34,39.34
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,C,D,East Midlands,44.1,,44.1,44.1,44.1
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,C,D,London,55.72,,55.72,55.72,55.72
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,D,C,London,35.2,,35.2,35.2,35.2
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,D,C,South East,28.549999999999997,19.69999492385721,21.585,28.549999999999997,35.515
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,D,C,South West,33.32,,33.32,33.32,33.32
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,D,C,Yorkshire and the Humber,28.52,,28.52,28.52,28.52
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,D,D,East,47.4625,15.649993343981544,36.4625,43.0,54.0
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,D,D,East Midlands,45.932500000000005,17.194571575548686,39.7175,48.620000000000005,54.835
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,D,D,London,47.56333333333333,12.111643433765158,41.31,43.68,54.99
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,D,D,North East,87.84,,87.84,87.84,87.84
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,D,D,North West,47.66333333333333,11.813481705238297,48.61,51.0,55.51
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,D,D,South East,48.9,7.273520468108962,44.945,47.39,52.1
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,D,D,South West,44.06571428571429,20.533374342878034,29.09,41.6,55.985
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,D,D,West Midlands,50.82,,50.82,50.82,50.82
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,D,D,Yorkshire and the Humber,60.936,22.066872909408804,47.56,64.8,71.76
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,D,E,London,48.02,,48.02,48.02,48.02
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,D,E,North West,51.15,,51.15,51.15,51.15
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,D,E,South East,36.4,,36.4,36.4,36.4
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,D,E,West Midlands,64.35,,64.35,64.35,64.35
1.0,privately rent,private rented - occupied,private rented,other,converted flat,converted flat,low rise flat,D,E,Yorkshire and the Humber,30.21,,30.21,30.21,30.21
