nbedsx,tenex,tenure8x,tenure4x,accomhh1,dwtypenx,dwtype8x,dwtype3x,EPceeb12e,EPceib12e,gorehs,mean,std,p25,median,p75
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,D,South East,39.24,2.9274220741123074,38.205,39.24,40.275000000000006
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,D,South West,42.48,,42.48,42.48,42.48
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,C,D,West Midlands,40.0,,40.0,40.0,40.0
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,D,East,42.64,,42.64,42.64,42.64
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,D,London,46.905,8.34558026742299,40.97,49.705,51.9075
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,D,North West,60.0,,60.0,60.0,60.0
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,D,South East,52.17,,52.17,52.17,52.17
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,D,Yorkshire and the Humber,43.09,5.586143571373727,41.115,43.09,45.065
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,E,East,40.435,3.966869042456531,39.0325,40.435,41.837500000000006
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,E,London,46.629999999999995,1.937472580451139,45.945,46.629999999999995,47.315
1.0,own outright,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,E,North West,45.9,,45.9,45.9,45.9
