Area Name,mean_1,std_1,mean_2,std_2,mean_3,std_3,mean_4plus,std_4plus
County Durham UA,59.17533588442866,26.441748368030535,78.98624516894449,27.328976634958106,85.9354755801299,30.55439466907883,106.36370697999982,50.464986201082475
Darlington UA,54.58774664703565,21.598812466140586,74.29264927407836,26.65236784541418,83.44221549838919,29.329959825543675,98.76838213489644,44.030701733727994
Hartlepool UA,76.81225819324223,854.4230116278547,81.94673429964823,491.40414183898605,83.2501002333514,175.78250021878586,88.58025324502512,31.248649878164212
Middlesbrough UA,52.83585503559174,22.136985712434107,74.50224245667823,28.42258911281791,82.635373250015,29.924095512937733,87.02950554334033,31.893512165712572
Northumberland UA,62.09182403354552,30.320933689377114,75.64387008061077,37.352574476059296,95.15594833585763,51.042289781495874,135.0955598859417,82.36898577874847
Redcar and Cleveland UA,54.57957462716271,23.44342616001031,70.98852083146672,33.84208498225289,84.20755840543386,35.82898137011621,100.26495334768029,50.637225722398625
Stockton-on-Tees UA,51.94445055104101,24.188671137485574,70.39052991961717,30.92190445856153,85.8111486241358,31.28167807269063,99.84205873210213,44.399053364061075
Gateshead,63.23598660450541,19.67189696962591,70.1013544552241,23.84459111029295,82.07053873337915,32.62944275747842,94.8125714503434,50.21360470354208
Newcastle upon Tyne,61.92320093212298,25.812163046534835,73.49169883728287,30.86215157117146,94.17285909457092,40.36971448954403,95.17801793510549,36.72003330251666
North Tyneside,61.71305811641454,22.09044991534231,67.28240704349183,24.1443750458276,82.67589943458033,31.61000902746607,96.27340963168618,39.66902550532695
South Tyneside,65.64493403439074,44.46581452907598,72.2751448980738,41.788389364635414,81.400821666622,35.785792184166866,86.96113493264812,34.42037414554866
Sunderland,58.800460001330926,26.114761755193133,74.01836751875607,31.001120977515065,87.12658210052143,42.255965355222266,101.97758017366652,75.88529930202941
Blackburn with Darwen UA,52.35363919710921,21.210011700302587,79.79318636390772,26.850718457808497,87.03861666571365,33.2844198222743,100.5548738536337,54.68799581401164
