Area Name,mean_1,std_1,mean_2,std_2,mean_3,std_3,mean_4plus,std_4plus
domestic-E06000001-Hartlepool,76.59598290934778,854.8624787354436,81.67092478268881,491.50733838275374,83.6370294146649,172.6103151769799,104.29476845135865,56.57600911358982
domestic-E06000002-Middlesbrough,51.150222413977524,19.273242713886653,74.03797191710721,27.944481188132286,82.81306610059329,30.22415760284088,98.37528359853039,39.66807543583765
domestic-E06000003-Redcar-and-Cleveland,54.61464774387004,23.417948696156785,70.884919362842,33.72643131327495,83.97475822741586,35.73680913950244,102.76595609271585,50.61816915819912
domestic-E06000004-Stockton-on-Tees,51.449184622430074,22.76413239285347,70.1453509525375,30.281495277697633,85.5994402711063,30.866449692216502,102.6255581746456,46.273392902892645
domestic-E06000005-Darlington,54.628069058852574,21.61950391318989,73.9794369955986,26.249321077390633,83.02790467844437,28.697681772323072,102.38921558454882,45.64423521041461
domestic-E06000006-Halton,52.33003121157885,17.835101267847833,65.4972072505808,33.67215625473373,81.5247142937955,40.91816141616584,101.05897496187887,48.584919752480374
domestic-E06000007-Warrington,52.84608885555756,18.22807868770125,66.48399342591246,23.892169250749596,82.91081432606666,28.73629327964975,108.79568658141433,51.34082094028325
domestic-E06000008-Blackburn-with-Darwen,52.26919344205746,21.071405125847388,79.56872703987692,26.673776363875277,86.76470024881922,32.699519466126375,102.88852745584369,56.31296389950678
domestic-E06000009-Blackpool,46.05221324870507,25.20957308055151,63.86644203440305,35.15244540546301,89.67976390300824,35.446650678670125,102.66139939046187,44.18285421463377
domestic-E06000010-Kingston-upon-Hull-City-of,51.48915741903548,20.851728292293494,70.38299626189642,30.93197360320909,80.28505934986008,47.036964697238865,100.2774053434883,116.54184136924772
domestic-E06000011-East-Riding-of-Yorkshire,55.17068338061466,24.461002353960264,69.8788840754705,33.13360192220098,87.95453483921662,43.12686438510321,121.86923688918121,66.47366628097927
domestic-E06000012-North-East-Lincolnshire,54.0906083338862,19.536085099770492,72.37225228090838,34.89133305556967,85.89172752346397,31.929462772506827,100.04496642168547,42.17078749467845
domestic-E06000013-North-Lincolnshire,55.93782612255433,35.33970546147889,70.11348220365186,55.03459013540924,85.73780798556231,45.2170530718998,116.2652420350847,70.0748481472145
